"","time","sum_flux","valtype"
"179","1994-11-16",13.7055282193256,"med"
"180","1994-12-16",13.1433180637821,"med"
"181","1995-01-16",13.225342780511,"med"
"182","1995-02-15",13.788826003315,"med"
"183","1995-03-16",13.5971659741865,"med"
"184","1995-04-16",14.0671142585193,"med"
"185","1995-05-16",16.2088782005844,"med"
"186","1995-06-16",19.1341358571566,"med"
"187","1995-07-16",20.4135174717112,"med"
"188","1995-08-16",20.3217604819567,"med"
"189","1995-09-16",18.7033001461471,"med"
"190","1995-10-16",16.5354336279856,"med"
"191","1995-11-16",15.2533017959432,"med"
"192","1995-12-16",14.7546717680061,"med"
"193","1996-01-16",11.8098726862083,"med"
"194","1996-02-15",12.255909847695,"med"
"195","1996-03-16",12.2833340395475,"med"
"196","1996-04-16",13.1680205660332,"med"
"197","1996-05-16",15.7985642875448,"med"
"198","1996-06-16",17.9592921594751,"med"
"199","1996-07-16",19.6872705015089,"med"
"200","1996-08-16",18.3026383103707,"med"
"201","1996-09-16",15.0714125351902,"med"
"202","1996-10-16",12.7123372241041,"med"
"203","1996-11-16",11.7032627913412,"med"
"204","1996-12-16",11.233965178929,"med"
"205","1997-01-16",10.9723936323513,"med"
"206","1980-01-16",9.69852432369448,"min"
"207","1980-02-15",10.4881770512564,"min"
"208","1980-03-16",10.9077009946772,"min"
"209","1980-04-16",11.6781783059863,"min"
"210","1980-05-16",13.3833382748136,"min"
"211","1980-06-16",15.7343033045097,"min"
"212","1980-07-16",17.0103389835356,"min"
"213","1980-08-16",16.5136154894907,"min"
"214","1980-09-16",13.5674957655662,"min"
"215","1980-10-16",11.9317115803563,"min"
"216","1980-11-16",10.5917868689333,"min"
"217","1980-12-16",10.4923103466018,"min"
"218","1981-01-16",10.1125048709325,"min"
"219","1981-02-15",10.7399821554415,"min"
"220","1981-03-16",11.0165875914804,"min"
"221","1981-04-16",11.2840440788864,"min"
"222","1981-05-16",13.6603191767174,"min"
"223","1981-06-16",16.5934736990107,"min"
"224","1981-07-16",17.439577623316,"min"
"225","1981-08-16",17.227702928188,"min"
"226","1981-09-16",14.0235453127246,"min"
"227","1981-10-16",12.28803261507,"min"
"228","1981-11-16",10.9189668194708,"min"
"229","1981-12-16",10.4379982263557,"min"
"230","1982-01-16",10.7033671220381,"min"
"231","1982-02-15",11.119586023207,"min"
"232","1982-03-16",11.7171809666294,"min"
"233","1982-04-16",11.2350243860435,"min"
"234","1982-05-16",13.7261766775927,"min"
"235","1982-06-16",17.1830978671208,"min"
"236","1982-07-16",18.5146091485712,"min"
"237","1982-08-16",17.7628173667806,"min"
"238","1982-09-16",15.09583211331,"min"
"239","1982-10-16",13.101089732478,"min"
"240","1982-11-16",11.3659966008405,"min"
"241","1982-12-16",11.2937726440837,"min"
"242","1983-01-16",11.8447994403142,"min"
"243","1983-02-15",11.8002476290399,"min"
